adultetc                      : 0x08C19793
aticket                       : 0x08C19573
atickettickets                : 0x08C1954C
events                        : 0x08C68D0B
forthelotofyou                : 0x08C41E03
forthelotofyouend             : 0x08C41E3A
girl                          : 0x08C28A6A
giveallexp                    : 0x08C6B140
givejeffexp                   : 0x08C6B1F8
givenessexp                   : 0x08C6B1DC
givepaulaexp                  : 0x08C6B1EA
givepooexp                    : 0x08C6B206
he                            : 0x08C9177E
hecapital                     : 0x08C91795
her                           : 0x08C917D9
heshe                         : 0x08C9175C
himher                        : 0x08C917CA
hinttable                     : 0x08C6B877
his                           : 0x08C917C0
hisher                        : 0x08C917A2
hornoflifedesc                : 0x08C405A3
i                             : 0x08C91816
it                            : 0x08C91782
itcapital                     : 0x08C9179E
item02                        : 0x08C91E0B
item03                        : 0x08C91E0B
item04                        : 0x08C91E0B
item05                        : 0x08C91E3D
item06                        : 0x08C91E52
item07                        : 0x08C91E0B
item08                        : 0x08C91E67
item09                        : 0x08C91E7A
item0A                        : 0x08C91E0B
item0B                        : 0x08C91E0B
item0C                        : 0x08C91E0B
item0D                        : 0x08C91E0B
item0E                        : 0x08C91E0B
item0F                        : 0x08C91E0B
item10                        : 0x08C91E0B
item11                        : 0x08C91E8F
item12                        : 0x08C91EA2
item13                        : 0x08C91EB5
item14                        : 0x08C91ECA
item15                        : 0x08C91E0B
item16                        : 0x08C91E0B
item17                        : 0x08C91EDD
item18                        : 0x08C91E0B
item19                        : 0x08C91E0B
item1A                        : 0x08C91E0B
item1B                        : 0x08C91EF0
item1C                        : 0x08C91E0B
item1D                        : 0x08C91E0B
item1E                        : 0x08C91E0B
item1F                        : 0x08C91E0B
item20                        : 0x08C91F03
item21                        : 0x08C91F14
item22                        : 0x08C91E0B
item23                        : 0x08C91E0B
item24                        : 0x08C91F26
item25                        : 0x08C91E0B
item26                        : 0x08C91E0B
item27                        : 0x08C91E0B
item28                        : 0x08C91F38
item29                        : 0x08C91E0B
item2A                        : 0x08C91E0B
item2B                        : 0x08C91F4D
item2C                        : 0x08C91E0B
item2D                        : 0x08C91F5E
item2E                        : 0x08C91E0B
item2F                        : 0x08C91F70
item30                        : 0x08C91E0B
item31                        : 0x08C91F82
item32                        : 0x08C91E0B
item33                        : 0x08C91F94
item34                        : 0x08C91E0B
item35                        : 0x08C91FA6
item36                        : 0x08C91FB9
item37                        : 0x08C91FCC
item38                        : 0x08C91FE0
item39                        : 0x08C91FF4
item3A                        : 0x08C91E0B
item3B                        : 0x08C91E0B
item3C                        : 0x08C92006
item3D                        : 0x08C9201B
item3E                        : 0x08C91E0B
item3F                        : 0x08C9202D
item40                        : 0x08C91E0B
item41                        : 0x08C91E0B
item42                        : 0x08C92041
item43                        : 0x08C91E0B
item44                        : 0x08C91E0B
item45                        : 0x08C91E0B
item46                        : 0x08C92056
item47                        : 0x08C92069
item48                        : 0x08C91E0B
item49                        : 0x08C9207D
item4A                        : 0x08C92090
item4B                        : 0x08C920A4
item4C                        : 0x08C920B8
item4D                        : 0x08C920CC
item4E                        : 0x08C91E0B
item4F                        : 0x08C920E0
item50                        : 0x08C91E0B
item51                        : 0x08C920F2
item52                        : 0x08C92104
item53                        : 0x08C92118
item54                        : 0x08C91E0B
item55                        : 0x08C9212F
item56                        : 0x08C91E0B
item57                        : 0x08C91E0B
item58                        : 0x08C91E0B
item59                        : 0x08C91E0B
item5A                        : 0x08C92141
item5B                        : 0x08C91E0B
item5C                        : 0x08C92156
item5D                        : 0x08C92169
item5E                        : 0x08C91E0B
item5F                        : 0x08C91E0B
item60                        : 0x08C9217C
item61                        : 0x08C9218E
item62                        : 0x08C91E0B
item63                        : 0x08C921A1
item64                        : 0x08C91E0B
item65                        : 0x08C921B5
item66                        : 0x08C921C7
item67                        : 0x08C921D9
item68                        : 0x08C921EF
item69                        : 0x08C91E0B
item6A                        : 0x08C91E0B
item6B                        : 0x08C91E0B
item6C                        : 0x08C91E0B
item6D                        : 0x08C92204
item6E                        : 0x08C92217
item6F                        : 0x08C9222E
item70                        : 0x08C91E0B
item71                        : 0x08C91E0B
item72                        : 0x08C91E0B
item73                        : 0x08C91E0B
item74                        : 0x08C91E0B
item75                        : 0x08C92241
item76                        : 0x08C92256
item77                        : 0x08C9226A
item78                        : 0x08C91E0B
item79                        : 0x08C91E0B
item7A                        : 0x08C92280
item7B                        : 0x08C92292
item7C                        : 0x08C922A4
item7D                        : 0x08C922B6
item7E                        : 0x08C922CB
item7F                        : 0x08C922DE
item80                        : 0x08C922F3
item81                        : 0x08C91E0B
item82                        : 0x08C92306
item83                        : 0x08C91E0B
item84                        : 0x08C9231A
item85                        : 0x08C91E0B
item86                        : 0x08C9232F
item87                        : 0x08C91E0B
item88                        : 0x08C92344
item89                        : 0x08C91E0B
item8A                        : 0x08C92359
item8B                        : 0x08C92370
item8C                        : 0x08C92385
item8D                        : 0x08C91E0B
item8E                        : 0x08C92399
item8F                        : 0x08C91E0B
item90                        : 0x08C91E0B
item91                        : 0x08C91E0B
item92                        : 0x08C91E0B
item93                        : 0x08C923AE
item94                        : 0x08C91E0B
item95                        : 0x08C91E0B
item96                        : 0x08C923C3
item97                        : 0x08C91E0B
item98                        : 0x08C91E0B
item99                        : 0x08C91E0B
item9A                        : 0x08C923D5
item9B                        : 0x08C91E0B
item9C                        : 0x08C923EB
item9D                        : 0x08C923FD
item9E                        : 0x08C92412
item9F                        : 0x08C92424
itemA0                        : 0x08C91E0B
itemA1                        : 0x08C92436
itemA2                        : 0x08C92449
itemA3                        : 0x08C9245F
itemA4                        : 0x08C92474
itemA5                        : 0x08C91E0B
itemA6                        : 0x08C91E0B
itemA7                        : 0x08C92486
itemA8                        : 0x08C91E0B
itemA9                        : 0x08C91E0B
itemAA                        : 0x08C9249D
itemAB                        : 0x08C924AF
itemAC                        : 0x08C91E0B
itemAD                        : 0x08C91E0B
itemAE                        : 0x08C91E0B
itemAF                        : 0x08C91E0B
itemB0                        : 0x08C924C4
itemB1                        : 0x08C924D8
itemB2                        : 0x08C924ED
itemB3                        : 0x08C92500
itemB4                        : 0x08C91E0B
itemB5                        : 0x08C92512
itemB6                        : 0x08C91E0B
itemB7                        : 0x08C92527
itemB8                        : 0x08C91E0B
itemB9                        : 0x08C91E0B
itemBA                        : 0x08C9253C
itemBB                        : 0x08C92550
itemBC                        : 0x08C91E0B
itemBD                        : 0x08C92565
itemBE                        : 0x08C91E0B
itemBF                        : 0x08C91E0B
itemC0                        : 0x08C92578
itemC1                        : 0x08C9258A
itemC2                        : 0x08C91E0B
itemC3                        : 0x08C9259E
itemC4                        : 0x08C925B2
itemC5                        : 0x08C91E0B
itemC6                        : 0x08C925C8
itemC7                        : 0x08C91E0B
itemC8                        : 0x08C925DB
itemC9                        : 0x08C91E0B
itemCA                        : 0x08C91E0B
itemCB                        : 0x08C925F3
itemCC                        : 0x08C92605
itemCD                        : 0x08C9261B
itemCE                        : 0x08C91E0B
itemCF                        : 0x08C91E0B
itemD0                        : 0x08C91E0B
itemD1                        : 0x08C91E0B
itemD2                        : 0x08C91E0B
itemD3                        : 0x08C91E0B
itemD4                        : 0x08C91E0B
itemD5                        : 0x08C92633
itemD6                        : 0x08C92648
itemD7                        : 0x08C91E0B
itemD8                        : 0x08C91E0B
itemD9                        : 0x08C9265E
itemDA                        : 0x08C92670
itemDB                        : 0x08C91E0B
itemDC                        : 0x08C91E0B
itemDD                        : 0x08C91E0B
itemDE                        : 0x08C91E0B
itemDF                        : 0x08C92684
itemE0                        : 0x08C91E0B
itemE1                        : 0x08C91E0B
itemE2                        : 0x08C91E0B
itemE3                        : 0x08C91E0B
itemE4                        : 0x08C92696
itemE5                        : 0x08C926A9
itemE6                        : 0x08C926BB
itemE7                        : 0x08C926CE
itemE8                        : 0x08C91E0B
itemE9                        : 0x08C91E0B
itemEA                        : 0x08C91E0B
itemEB                        : 0x08C926E3
itemEC                        : 0x08C91E0B
itemED                        : 0x08C926F5
itemEE                        : 0x08C92708
itemEF                        : 0x08C9271B
itemempty                     : 0x08C91C3C
itemF0                        : 0x08C92730
itemF1                        : 0x08C922CB
itemF2                        : 0x08C922CB
itemF3                        : 0x08C922CB
itemF4                        : 0x08C922CB
itemF5                        : 0x08C922CB
itemF6                        : 0x08C922CB
itemF7                        : 0x08C92743
itemF8                        : 0x08C92757
itemF9                        : 0x08C9276C
itemFA                        : 0x08C91E67
itemFB                        : 0x08C91E0B
itemFC                        : 0x08C91E0B
itemFD                        : 0x08C91E0B
its                           : 0x08C917C5
iwe                           : 0x08C917F4
kid                           : 0x08C19547
kidkids                       : 0x08C19523
L0                            : 0x08C10000
L1                            : 0x08C100AD
L2                            : 0x08C10134
L3                            : 0x08C101AF
L4                            : 0x08C10210
L5                            : 0x08C102C6
L6                            : 0x08C1034E
L7                            : 0x08C1047A
L8                            : 0x08C10482
L9                            : 0x08C1048A
L10                           : 0x08C10534
L11                           : 0x08C107E7
L12                           : 0x08C10814
L13                           : 0x08C10861
L14                           : 0x08C108F1
L15                           : 0x08C10A2B
L16                           : 0x08C10AB4
L17                           : 0x08C10F46
L18                           : 0x08C11098
L19                           : 0x08C110D9
L20                           : 0x08C1111D
L21                           : 0x08C113BE
L22                           : 0x08C113CE
L23                           : 0x08C11411
L24                           : 0x08C1147C
L25                           : 0x08C116BD
L26                           : 0x08C117CD
L27                           : 0x08C117DD
L28                           : 0x08C117E5
L29                           : 0x08C119A6
L30                           : 0x08C11A15
L31                           : 0x08C11B69
L32                           : 0x08C11F38
L33                           : 0x08C11F70
L34                           : 0x08C124DC
L35                           : 0x08C125F9
L36                           : 0x08C126C6
L37                           : 0x08C12722
L38                           : 0x08C1275E
L39                           : 0x08C1279F
L40                           : 0x08C12836
L41                           : 0x08C1286E
L42                           : 0x08C128C5
L43                           : 0x08C12925
L44                           : 0x08C129A9
L45                           : 0x08C129FF
L46                           : 0x08C12A34
L47                           : 0x08C12AFB
L48                           : 0x08C12B77
L49                           : 0x08C12BC1
L50                           : 0x08C12DD5
L51                           : 0x08C12F25
L52                           : 0x08C12FC7
L53                           : 0x08C1303D
L54                           : 0x08C1311F
L55                           : 0x08C135E1
L56                           : 0x08C13657
L57                           : 0x08C136FD
L58                           : 0x08C1376C
L59                           : 0x08C137B7
L60                           : 0x08C1383F
L61                           : 0x08C139E5
L62                           : 0x08C13AB8
L63                           : 0x08C13B7F
L64                           : 0x08C13C30
L65                           : 0x08C1402D
L66                           : 0x08C14092
L67                           : 0x08C140C3
L68                           : 0x08C1410C
L69                           : 0x08C14221
L70                           : 0x08C142F7
L71                           : 0x08C1438A
L72                           : 0x08C143C9
L73                           : 0x08C1454E
L74                           : 0x08C1456F
L75                           : 0x08C145AB
L76                           : 0x08C1464D
L77                           : 0x08C1484E
L78                           : 0x08C14919
L79                           : 0x08C1498D
L80                           : 0x08C14AFD
L81                           : 0x08C14B63
L82                           : 0x08C14CC2
L83                           : 0x08C14CD8
L84                           : 0x08C14CEE
L85                           : 0x08C14E15
L86                           : 0x08C14E95
L87                           : 0x08C150A9
L88                           : 0x08C150B1
L89                           : 0x08C150C1
L90                           : 0x08C15316
L91                           : 0x08C1531E
L92                           : 0x08C15368
L93                           : 0x08C153FA
L94                           : 0x08C1542B
L95                           : 0x08C15516
L96                           : 0x08C15604
L97                           : 0x08C1575C
L98                           : 0x08C15822
L99                           : 0x08C158E1
L100                          : 0x08C159AE
L101                          : 0x08C15B5D
L102                          : 0x08C15C38
